Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
8_3;8;38;3;Root;Root;Root;0,053278689;0,056352459;0,140368852;0,00102459;0,015368852;0,086065574;0,00102459;0,198770492;0,015368852;0,411885246;0,008196721;0,00204918
8_4;8;39;4;Root;Root;Root;0;0,122971819;0,006831768;0,043552519;0,036720751;0,099914603;0,348420154;0,157130658;0,025619129;0,004269855;0,014517506;0,112724167
8_5;8;40;5;Root;Root;Root;0;0,001015228;0,040609137;0;0,009137056;0;0,069035533;0;0,007106599;0;0,659898477;0,14213198
9_1;9;41;1;Root;Root;Root;0,002631579;0,015789474;0,005263158;0,084210526;0,018421053;0;0,171052632;0,244736842;0;0,297368421;0,081578947;0,023684211
9_2;9;42;2;Root;Root;Root;0;0,002886003;0,148629149;0,063492063;0,113997114;0;0;0,076479076;0,001443001;0;0,106782107;0
9_3;9;43;3;Root;Root;Root;0;0,041942605;0,011037528;0,030905077;0,068432671;0;0,110375276;0,216335541;0;0,033112583;0,165562914;0,026490066
9_4;9;44;4;Root;Root;Root;0;0;0,003831418;0,081417625;0,011494253;0;0,003831418;0,492337165;0;0,027777778;0,30651341;0,034482759
9_5;9;45;5;Root;Root;Root;0;0,075949367;0;0;0,037974684;0;0;0;0;0,075949367;0,025316456;0
A1;1;1;1;2_A;Sandbag;Bag;0;0,255060729;0;0,04048583;0,015384615;0;0;0;0;0;0,038866397;0,0048583
A11;3;11;1;2_A;Sandbag;Bag;0;0,047169811;0,086084906;0;0,007075472;0;0;0,010613208;0;0;0,156839623;0,109669811
A13;3;13;3;2_A;Sandbag;Bag;0;0,542268041;0,002061856;0;0;0;0;0,008247423;0;0;0,206185567;0,181443299
A14;3;14;4;2_A;Sandbag;Bag;0;0,583579882;0,005177515;0;0;0;0;0,000739645;0;0,002218935;0,331360947;0,072485207
A15;3;15;5;2_A;Sandbag;Bag;0;0,070921986;0;0;0;0;0;0;0,265957447;0;0,085106383;0,578014184
A16;4;16;1;2_A;Sandbag;Bag;0;0,003482298;0,218224028;0;0;0;0;0;0,356935577;0,001741149;0,170632618;0,203134068
A17;4;17;2;2_A;Sandbag;Bag;0;0,506811989;0,009990917;0;0;0;0,001362398;0,257493188;0;0,014986376;0,05222525;0,011353315
A18;4;18;3;2_A;Sandbag;Bag;0;0,056100982;0,139551192;0,000701262;0;0;0;0;0,00911641;0;0,079242637;0,645862553
A19;4;19;4;2_A;Sandbag;Bag;0;0,697471264;0;0;0;0;0;0;0;0,00137931;0,005977011;0,224367816
A2;1;2;2;2_A;Sandbag;Bag;0,079445145;0,089533417;0,27112232;0,011349306;0,015132409;0;0;0,044136192;0;0;0,459016393;0
A20;4;20;5;2_A;Sandbag;Bag;0;0,487449799;0,136546185;0;0;0;0;0,023092369;0,110943775;0;0,126004016;0,00753012
A21;5;21;1;2_A;Sandbag;Bag;0;0,974093264;0,001413095;0;0,000471032;0,000471032;0;0,00612341;0,001413095;0;0,015544041;0
